accountNumber,accountBalance,housingLoan,vehicleLoan,branchCity
1,2143,yes,no,Newcastle
2,29,yes,no,New York
3,2,yes,yes,San Jose
4,1506,yes,no,Houston
5,1,no,no,San Fransisco
6,231,yes,no,Los Angeles
7,447,yes,yes,Jersey
8,2,yes,no,San Antonio
9,121,yes,no,Dallas
10,593,yes,no,Santa Clara
11,270,yes,no,Rosselle
12,390,yes,no,Pittsburgh
13,6,yes,no,Pennsylvania
14,71,yes,no,Newcastle
15,162,yes,no,New York
16,229,yes,no,San Jose
17,13,yes,no,Houston
18,52,yes,no,San Fransisco
19,60,yes,no,Los Angeles
20,0,yes,no,Jersey
21,723,yes,yes,San Antonio
22,779,yes,no,Dallas
23,23,yes,yes,Santa Clara
24,50,yes,no,Rosselle
25,0,yes,yes,Pittsburgh
26,-372,yes,no,Pennsylvania
27,255,yes,no,Newcastle
28,113,yes,yes,New York
29,-246,yes,no,San Jose
30,265,yes,yes,Houston
31,839,no,yes,San Fransisco
32,378,yes,no,Los Angeles
33,39,yes,yes,Jersey
34,0,yes,no,San Antonio
35,10635,yes,no,Dallas
36,63,yes,no,Santa Clara
37,-7,yes,no,Rosselle
38,-3,no,no,Pittsburgh
39,506,yes,no,Pennsylvania
40,0,yes,no,Newcastle
41,2586,yes,no,New York
42,49,yes,no,San Jose
43,104,yes,no,Houston
44,529,yes,no,San Fransisco
45,96,yes,no,Los Angeles
46,-171,yes,no,Jersey
47,-364,yes,no,San Antonio
48,0,yes,no,Dallas
49,0,no,no,Santa Clara
50,0,yes,no,Rosselle
51,1291,yes,no,Pittsburgh
52,-244,yes,no,Pennsylvania
53,0,yes,no,Newcastle
54,-76,yes,no,New York
55,-103,yes,yes,San Jose
56,243,no,yes,Houston
57,424,yes,no,San Fransisco
58,306,yes,no,Los Angeles
59,24,yes,no,Jersey
60,179,yes,no,San Antonio
61,0,yes,no,Dallas
62,989,yes,no,Santa Clara
63,249,yes,no,Rosselle
64,790,yes,no,Pittsburgh
65,154,yes,no,Pennsylvania
66,6530,yes,no,Newcastle
67,100,no,no,New York
68,59,yes,no,San Jose
69,1205,yes,no,Houston
70,12223,yes,yes,San Fransisco
71,5935,yes,yes,Los Angeles
72,25,yes,yes,Jersey
73,282,yes,yes,San Antonio
74,23,yes,no,Dallas
75,1937,yes,no,Santa Clara
76,384,yes,no,Rosselle
77,582,no,yes,Pittsburgh
78,91,no,no,Pennsylvania
79,0,yes,yes,Newcastle
80,1,yes,no,New York
81,206,yes,no,San Jose
82,164,no,no,Houston
83,690,yes,no,San Fransisco
84,2343,yes,no,Los Angeles
85,137,yes,yes,Jersey
86,173,yes,no,San Antonio
87,45,no,no,Dallas
88,1270,yes,no,Santa Clara
89,16,yes,yes,Rosselle
90,486,yes,no,Pittsburgh
91,50,no,no,Pennsylvania
92,152,yes,yes,Newcastle
93,290,yes,no,New York
94,54,yes,no,San Jose
95,-37,no,no,Houston
96,101,yes,yes,San Fransisco
97,383,no,no,Los Angeles
98,81,yes,no,Jersey
99,0,yes,no,San Antonio
100,229,yes,no,Dallas
101,-674,yes,no,Santa Clara
102,90,no,no,Rosselle
103,128,yes,no,Pittsburgh
104,179,yes,no,Pennsylvania
105,0,yes,no,Newcastle
106,54,yes,no,New York
107,151,yes,no,San Jose
108,61,no,yes,Houston
109,30,yes,no,San Fransisco
110,523,yes,no,Los Angeles
111,31,yes,no,Jersey
112,79,no,no,San Antonio
113,-34,yes,yes,Dallas
114,448,yes,no,Santa Clara
115,81,yes,no,Rosselle
116,144,yes,no,Pittsburgh
117,351,yes,no,Pennsylvania
118,-67,yes,no,Newcastle
119,262,no,no,New York
120,0,no,no,San Jose
121,56,yes,no,Houston
122,26,yes,no,San Fransisco
123,3,yes,no,Los Angeles
124,41,yes,yes,Jersey
125,7,no,yes,San Antonio
126,105,yes,no,Dallas
127,818,yes,yes,Santa Clara
128,-16,yes,yes,Rosselle
129,0,yes,no,Pittsburgh
130,2476,yes,no,Pennsylvania
131,1185,no,no,Newcastle
132,217,yes,no,New York
133,1685,yes,no,San Jose
134,802,yes,yes,Houston
135,0,yes,no,San Fransisco
136,94,yes,no,Los Angeles
137,0,yes,no,Jersey
138,0,no,no,San Antonio
139,517,yes,no,Dallas
140,265,yes,no,Santa Clara
141,947,yes,no,Rosselle
142,3,yes,no,Pittsburgh
143,42,no,no,Pennsylvania
144,37,yes,no,Newcastle
145,57,yes,no,New York
146,22,yes,no,San Jose
147,8,yes,no,Houston
148,293,yes,no,San Fransisco
149,3,yes,no,Los Angeles
150,348,yes,no,Jersey
151,-19,yes,no,San Antonio
152,0,yes,no,Dallas
153,-4,yes,no,Santa Clara
154,18,yes,no,Rosselle
155,139,no,no,Pittsburgh
156,0,yes,no,Pennsylvania
157,1883,yes,no,Newcastle
158,216,yes,no,New York
159,782,yes,no,San Jose
160,904,yes,no,Houston
161,1705,yes,no,San Fransisco
162,47,yes,no,Los Angeles
