customerId,customerName,customerCity,creditcardNumber,accountNumber,job,marital,education,housing,loan
1,Stacey,New York,1,1,management,married,tertiary,yes,no
2,Lisa,San Jose,2,2,technician,single,secondary,yes,no
3,David,Houston,3,3,entrepreneur,married,secondary,yes,yes
4,Jeanette,San Fransisco,4,4,blue-collar,married,unknown,yes,no
5,Adrian,Los Angeles,5,5,unknown,single,unknown,no,no
6,Peter,Jersey,6,6,management,married,tertiary,yes,no
7,CHRIS,San Antonio,7,7,management,single,tertiary,yes,yes
8,Rhiannon,Dallas,8,8,entrepreneur,divorced,tertiary,yes,no
9,Shelly,Santa Clara,9,9,retired,married,primary,yes,no
10,Ola,Rosselle,10,10,technician,single,secondary,yes,no
11,Stacey,Pittsburgh,11,11,admin.,divorced,secondary,yes,no
12,Lisa,Pennsylvania,12,12,admin.,single,secondary,yes,no
13,David,Columbia,13,13,technician,married,secondary,yes,no
14,Jeanette,Newcastle,14,14,technician,married,unknown,yes,no
15,Adrian,New York,15,15,services,married,secondary,yes,no
16,Peter,San Jose,16,16,retired,married,primary,yes,no
17,CHRIS,Houston,17,17,admin.,single,unknown,yes,no
18,Rhiannon,San Fransisco,18,18,blue-collar,married,primary,yes,no
19,Shelly,Los Angeles,19,19,retired,married,primary,yes,no
20,Ola,Jersey,20,20,services,married,secondary,yes,no
21,Stacey,San Antonio,21,21,blue-collar,married,secondary,yes,yes
22,Lisa,Dallas,22,22,management,married,tertiary,yes,no
23,David,Santa Clara,23,23,blue-collar,single,primary,yes,yes
24,Jeanette,Rosselle,24,24,services,married,secondary,yes,no
25,Adrian,Pittsburgh,25,25,retired,married,primary,yes,yes
26,Peter,Pennsylvania,26,26,admin.,married,secondary,yes,no
27,CHRIS,Columbia,27,27,management,single,tertiary,yes,no
28,Rhiannon,Newcastle,28,28,entrepreneur,married,secondary,yes,yes
29,Shelly,New York,29,29,management,single,secondary,yes,no
30,Ola,San Jose,30,30,technician,single,secondary,yes,yes
31,Stacey,Houston,31,31,technician,married,secondary,no,yes
32,Lisa,San Fransisco,32,32,management,married,tertiary,yes,no
33,David,Los Angeles,33,33,admin.,married,secondary,yes,yes
34,Jeanette,Jersey,34,34,blue-collar,married,secondary,yes,no
35,Adrian,San Antonio,35,35,management,married,tertiary,yes,no
36,Peter,Dallas,36,36,technician,divorced,secondary,yes,no
37,CHRIS,Santa Clara,37,37,blue-collar,married,secondary,yes,no
38,Rhiannon,Rosselle,38,38,technician,married,secondary,no,no
39,Shelly,Pittsburgh,39,39,admin.,divorced,secondary,yes,no
40,Ola,Pennsylvania,40,40,admin.,single,secondary,yes,no
41,Stacey,Columbia,41,41,services,divorced,secondary,yes,no
42,Lisa,Newcastle,42,42,management,married,secondary,yes,no
43,David,New York,43,43,blue-collar,married,unknown,yes,no
44,Jeanette,San Jose,44,44,retired,married,secondary,yes,no
45,Adrian,Houston,45,45,retired,married,unknown,yes,no
46,Peter,San Fransisco,46,46,admin.,single,primary,yes,no
47,CHRIS,Los Angeles,47,47,self-employed,married,tertiary,yes,no
48,Rhiannon,Jersey,48,48,technician,married,secondary,yes,no
49,Shelly,San Antonio,49,49,technician,divorced,secondary,no,no
50,Ola,Dallas,50,50,management,single,tertiary,yes,no
51,Stacey,Santa Clara,51,51,blue-collar,married,secondary,yes,no
52,Lisa,Rosselle,52,52,management,divorced,tertiary,yes,no
53,David,Pittsburgh,53,53,management,married,tertiary,yes,no
54,Jeanette,Pennsylvania,54,54,admin.,single,secondary,yes,no
55,Adrian,Columbia,55,55,technician,single,secondary,yes,yes
56,Peter,Newcastle,56,56,entrepreneur,single,tertiary,no,yes
57,CHRIS,New York,57,57,management,single,tertiary,yes,no
58,Rhiannon,San Jose,58,58,blue-collar,married,unknown,yes,no
59,Shelly,Houston,59,59,blue-collar,single,unknown,yes,no
60,Ola,San Fransisco,60,60,services,married,primary,yes,no
61,Stacey,Los Angeles,61,61,admin.,married,tertiary,yes,no
62,Lisa,Jersey,62,62,technician,divorced,secondary,yes,no
63,David,San Antonio,63,63,blue-collar,married,primary,yes,no
64,Jeanette,Dallas,64,64,services,married,secondary,yes,no
65,Adrian,Santa Clara,65,65,blue-collar,married,unknown,yes,no
66,Peter,Rosselle,66,66,management,married,tertiary,yes,no
67,CHRIS,Pittsburgh,67,67,retired,married,tertiary,no,no
68,Rhiannon,Pennsylvania,68,68,management,divorced,tertiary,yes,no
69,Shelly,Columbia,69,69,technician,married,secondary,yes,no
70,Ola,Newcastle,70,70,blue-collar,single,secondary,yes,yes
71,Stacey,New York,71,71,blue-collar,married,secondary,yes,yes
72,Lisa,San Jose,72,72,services,married,secondary,yes,yes
73,David,Houston,73,73,management,married,secondary,yes,yes
74,Jeanette,San Fransisco,74,74,blue-collar,married,primary,yes,no
75,Adrian,Los Angeles,75,75,technician,married,secondary,yes,no
76,Peter,Jersey,76,76,technician,married,secondary,yes,no
77,CHRIS,San Antonio,77,77,blue-collar,married,secondary,no,yes
78,Rhiannon,Dallas,78,78,services,divorced,secondary,no,no
79,Shelly,Santa Clara,79,79,services,divorced,secondary,yes,yes
80,Ola,Rosselle,80,80,services,divorced,secondary,yes,no
81,Stacey,Pittsburgh,81,81,admin.,single,secondary,yes,no
82,Lisa,Pennsylvania,82,82,services,divorced,secondary,no,no
83,David,Columbia,83,83,technician,single,secondary,yes,no
84,Jeanette,Newcastle,84,84,admin.,married,secondary,yes,no
85,Adrian,New York,85,85,self-employed,married,tertiary,yes,yes
86,Peter,San Jose,86,86,blue-collar,married,primary,yes,no
87,CHRIS,Houston,87,87,admin.,married,secondary,no,no
88,Rhiannon,San Fransisco,88,88,technician,married,secondary,yes,no
89,Shelly,Los Angeles,89,89,management,divorced,secondary,yes,yes
90,Ola,Jersey,90,90,retired,married,secondary,yes,no
91,Stacey,San Antonio,91,91,management,single,secondary,no,no
92,Lisa,Dallas,92,92,technician,married,secondary,yes,yes
93,David,Santa Clara,93,93,admin.,married,secondary,yes,no
94,Jeanette,Rosselle,94,94,blue-collar,married,unknown,yes,no
95,Adrian,Pittsburgh,95,95,entrepreneur,divorced,secondary,no,no
96,Peter,Pennsylvania,96,96,management,married,tertiary,yes,yes
97,CHRIS,Columbia,97,97,blue-collar,married,secondary,no,no
98,Rhiannon,Newcastle,98,98,retired,married,tertiary,yes,no
99,Shelly,New York,99,99,technician,married,secondary,yes,no
100,Ola,San Jose,100,100,management,married,tertiary,yes,no
101,Stacey,Houston,101,101,blue-collar,married,secondary,yes,no
102,Lisa,San Fransisco,102,102,blue-collar,married,primary,no,no
103,David,Los Angeles,103,103,blue-collar,married,primary,yes,no
104,Jeanette,Jersey,104,104,blue-collar,married,primary,yes,no
105,Adrian,San Antonio,105,105,technician,single,tertiary,yes,no
106,Peter,Dallas,106,106,blue-collar,married,secondary,yes,no
107,CHRIS,Santa Clara,107,107,technician,married,tertiary,yes,no
108,Rhiannon,Rosselle,108,108,admin.,married,secondary,no,yes
109,Shelly,Pittsburgh,109,109,retired,single,secondary,yes,no
110,Ola,Pennsylvania,110,110,management,married,tertiary,yes,no
111,Stacey,Columbia,111,111,services,divorced,secondary,yes,no
112,Lisa,Newcastle,112,112,technician,divorced,secondary,no,no
